filename,orbital_index,occupation
3F-N-phenalene_optimized_out.molden.input,53,1.970794
3F-N-phenalene_optimized_out.molden.input,54,1.968583
3F-N-phenalene_optimized_out.molden.input,55,1.95392
3F-N-phenalene_optimized_out.molden.input,56,1.935036
3F-N-phenalene_optimized_out.molden.input,57,0.055018
3F-N-phenalene_optimized_out.molden.input,58,0.052852
3F-N-phenalene_optimized_out.molden.input,59,0.04777
3F-N-phenalene_optimized_out.molden.input,60,0.016028
,,
3Me-N-phenalene_optimized_out.molden.input,53,1.973687
3Me-N-phenalene_optimized_out.molden.input,54,1.965259
3Me-N-phenalene_optimized_out.molden.input,55,1.954894
3Me-N-phenalene_optimized_out.molden.input,56,1.934669
3Me-N-phenalene_optimized_out.molden.input,57,0.057419
3Me-N-phenalene_optimized_out.molden.input,58,0.052841
3Me-N-phenalene_optimized_out.molden.input,59,0.043365
3Me-N-phenalene_optimized_out.molden.input,60,0.017865
,,
3N-B-phenalene_optimized_out.molden.input,40,1.971251
3N-B-phenalene_optimized_out.molden.input,41,1.960552
3N-B-phenalene_optimized_out.molden.input,42,1.927569
3N-B-phenalene_optimized_out.molden.input,43,1.922594
3N-B-phenalene_optimized_out.molden.input,44,0.094827
3N-B-phenalene_optimized_out.molden.input,45,0.0672
3N-B-phenalene_optimized_out.molden.input,46,0.033224
3N-B-phenalene_optimized_out.molden.input,47,0.022784
,,
6F-2B-U_optimized_out.molden.input,99,1.96227
6F-2B-U_optimized_out.molden.input,100,1.961324
6F-2B-U_optimized_out.molden.input,101,1.9498
6F-2B-U_optimized_out.molden.input,102,1.939398
6F-2B-U_optimized_out.molden.input,103,0.069854
6F-2B-U_optimized_out.molden.input,104,0.059816
6F-2B-U_optimized_out.molden.input,105,0.029389
6F-2B-U_optimized_out.molden.input,106,0.02815
,,
6F-2N-U_optimized_out.molden.input,101,1.986618
6F-2N-U_optimized_out.molden.input,102,1.980374
6F-2N-U_optimized_out.molden.input,103,1.964448
6F-2N-U_optimized_out.molden.input,104,1.964196
6F-2N-U_optimized_out.molden.input,105,0.034597
6F-2N-U_optimized_out.molden.input,106,0.030609
6F-2N-U_optimized_out.molden.input,107,0.02277
6F-2N-U_optimized_out.molden.input,108,0.016389
,,
6F-B-phenalene_optimized_out.molden.input,64,1.974689
6F-B-phenalene_optimized_out.molden.input,65,1.959356
6F-B-phenalene_optimized_out.molden.input,66,1.946282
6F-B-phenalene_optimized_out.molden.input,67,1.944487
6F-B-phenalene_optimized_out.molden.input,68,0.076076
6F-B-phenalene_optimized_out.molden.input,69,0.037258
6F-B-phenalene_optimized_out.molden.input,70,0.035739
6F-B-phenalene_optimized_out.molden.input,71,0.026114
,,
6Me-2N-U_optimized_out.molden.input,101,1.98514
6Me-2N-U_optimized_out.molden.input,102,1.980862
6Me-2N-U_optimized_out.molden.input,103,1.967551
6Me-2N-U_optimized_out.molden.input,104,1.967332
6Me-2N-U_optimized_out.molden.input,105,0.032288
6Me-2N-U_optimized_out.molden.input,106,0.029291
6Me-2N-U_optimized_out.molden.input,107,0.02064
6Me-2N-U_optimized_out.molden.input,108,0.016897
,,
6Me-B-phenalene_optimized_out.molden.input,64,1.973246
6Me-B-phenalene_optimized_out.molden.input,65,1.9565
6Me-B-phenalene_optimized_out.molden.input,66,1.94188
6Me-B-phenalene_optimized_out.molden.input,67,1.928155
6Me-B-phenalene_optimized_out.molden.input,68,0.080301
6Me-B-phenalene_optimized_out.molden.input,69,0.04642
6Me-B-phenalene_optimized_out.molden.input,70,0.044376
6Me-B-phenalene_optimized_out.molden.input,71,0.029122
,,
