Molecule,E(S1) (eV),E(T1) (eV), Total Energy (a.u.)
3N-Si-phenalene,0.4403,-0.5727,-795.702079025
6Me-Si-phenalene,1.165,-0.7217,-982.680855938
3B-B-phenalene_out,0.3772,-1.2456,-442.944486027
X-2N-Z_optimized_out,0.9747,0.5732,-1065.40410481
10Me-2Si-Z,0.59,-0.6371,-1809.3800452
12Si-2B-Z_optimized_out,2.0543,1.8297,-3392.29939083
10N-2Si-U,1.1192,0.7177,-1578.17411423
Con-N-phenalene_optimized_out,4.3956,2.7692,-400.574113487
6Si-zethrene_optimized_out,1.5959,-0.2959,-2419.27431769
6F-2B-U_optimized_out,1.2899,1.0457,-1483.14837215
Con-2B-Z_optimized_out,2.1271,1.2328,-777.341595204
NH2-6-2B-U_optimized_out,0.9446,0.5216,-1221.32364607
6N-Si-phenalene,1.0756,0.7971,-844.065500426
NO2-6-Si-phenalene,0.8293,-0.6519,-1967.66864314
10S-2Si-Z,0.7516,-0.6898,-4999.8632765
2con-2B-Z_optimized_out,2.8141,1.5528,-663.812860739
N02-6-2B-Z_optimized_out,0.9262,-0.8675,-2110.65274891
phenalene_optimized_out,4.3168,2.8182,-498.338489752
X2B-Z_optimized_out,0.8824,0.4966,-1005.9851326
X-2Si-U,1.5783,-0.0747,-1533.61984437
uthrene_optimized_out,2.6053,1.2658,-918.67684173
tetracene_optimized_out,3.0293,1.6125,-688.993252974
NO2-10-zethrene_optimized_out,2.1013,-1.1911,-2951.09073493
6Si-uthrene_optimized_out,1.4242,-0.5958,-2419.27230843
10F-2Si-Z,0.8374,-0.7358,-2405.34540556
NO2-3-B-phenalene_optimized_out,1.2543,-0.3954,-1094.40988342
10S-2N-Z_out,2.1031,1.798,-4534.10395115
10B-2N-U_optimized_out,0.797,-0.9214,-812.544227961
10Si-2N-U_optimized_out,1.5849,-0.6262,-3451.62070068
3N-phenalene_optimized_out,3.8885,2.9802,-546.134254272
NH2-6-Si-phenalene,1.1312,-0.3727,-1078.31282003
6F-2Si-Z,1.1169,-0.6109,-2010.7844797
6Me-2Si-U,0.2843,-0.4957,-1653.11115538
6B-2B-U_optimized_out,0.8634,0.4797,-808.218947133
6S-2Si-Z,0.2229,0.1357,-3568.68269982
6Si-phenalene_optimized_out,2.8994,2.4562,-1998.97817933
con-2Si-Z,0.1459,-0.3446,-1303.77675128
NO2-6-2B-U_optimized_out,1.4706,-1.1542,-2110.68191659
6N-2Si-U,1.5203,0.6275,-1514.32281498
2X-uthrene_optimized_out,2.2681,0.9457,-1148.35577798
2XB-Z_optimized_out,0.8311,0.4646,-1120.82779055
6N-2N-U_optimized_out,1.6567,1.4206,-1046.16281021
6Me-2N-U_optimized_out,1.8587,1.5809,-1185.03484106
2N-U_optimized_out,1.7727,1.4518,-950.547270744
6Si-2B-U_optimized_out,0.945,0.5331,-2391.71766373
3S-N-phenalene_optimized_out,3.7479,2.6659,-1589.23720912
naphthalene_optimized_out,4.8542,3.3862,-383.47508792
6S-2N-Z_optimized_out,2.6079,2.0055,-3100.55917019
6Me-phenalene_optimized_out,4.1698,2.7559,-732.826239965
3Si-B-phenalene_optimized_out,0.7166,-0.4173,-1234.92504306
10N-zethrene_optimized_out,3.0455,1.8466,-1078.13963275
